Марка,Модель,Год выпуска,Двигатель,Мощность,КПП,Привод,Цвет,Пробег,Руль,Поколение,Комплектация,Цена
Лада,2104,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,фиолетовый,37 400,левый,1 поколение,0,100000
Лада,2114 Самара,2012,"бензин, 1.6 л","89 л.с., налог",механика,передний,черный,300 000,левый,1 поколение,1.6 MT 211440-24,165000
Лада,Веста,2018,"бензин, 1.8 л","122 л.с., налог",механика,передний,серый,94 200,левый,1 поколение,1.8 MT Luxe + пакет Multimedia,780000
Лада,4x4 2121 Нива,1992,"бензин, 1.6 л","73 л.с., налог",механика,4WD,красный,60 000,левый,1 поколение,1.6 MT Base,150000
Лада,2107,2010,"бензин, 1.6 л","72 л.с., налог",механика,задний,белый,122 000,0,1 поколение,0,220000
Лада,2106,2003,"бензин, 1.6 л","75 л.с., налог",механика,задний,0,99 999,левый,1 поколение,0,37000
Лада,4x4 2121 Нива,1994,"бензин, 1.6 л","80 л.с., налог",механика,4WD,красный,100 000,левый,1 поколение,1.6 MT Base,50000
Лада,2106,1994,"бензин, 1.3 л","64 л.с., налог",механика,задний,белый,52 480,левый,1 поколение,1.3 MT 21063,130000
Лада,2105,2005,"бензин, 1.5 л","71 л.с., налог",механика,задний,белый,80 000,0,1 поколение,1.5 MT5 21053,39000
Лада,2107,2008,"бензин, 1.6 л","76 л.с., налог",механика,задний,белый,686 638,0,1 поколение,1.6 MT 21074,63000
Лада,Ларгус,2012,"бензин, 1.6 л","105 л.с., налог",механика,передний,белый,142 000,левый,1 поколение,1.6 MT Luxe 7 мест,470000
Лада,2105,2001,"бензин, 1.5 л","71 л.с., налог",механика,задний,фиолетовый,58 800,0,1 поколение,1.5 MT5 21053,55000
Лада,2109,1994,"бензин, 1.5 л","69 л.с., налог",механика,передний,бежевый,200 000,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,45000
Лада,2107,2011,"бензин, 1.6 л","72 л.с., налог",механика,задний,черный,120 000,0,1 поколение,0,125000
Лада,Приора,2015,"бензин, 1.6 л","106 л.с., налог",робот,передний,белый,91 000,левый,"1 поколение, рестайлинг",1.6 AMT Люкс 21725-33-053,575000
Лада,Веста,2016,"бензин, 1.6 л","106 л.с., налог",механика,передний,серебристый,190 000,левый,1 поколение,0,500000
Лада,2106,1999,"бензин, 1.5 л","72 л.с., налог",механика,задний,белый,66 821,левый,1 поколение,0,79000
Лада,4x4 2121 Нива,2014,"бензин, 1.7 л","83 л.с., налог",механика,4WD,белый,100 000,левый,1 поколение,1.7 MT,450000
Лада,4x4 Урбан,2016,"бензин, 1.7 л","83 л.с., налог",механика,4WD,коричневый,140 000,левый,1 поколение,1.7 MT Люкс 3 дв.,500000
Лада,2105,2007,"бензин, 1.5 л","71 л.с., налог",механика,задний,белый,85 000,0,1 поколение,1.5 MT5 21053-20,80000
Лада,2107,2005,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,130 000,0,1 поколение,1.6 MT 21074-30-011,36000
Лада,2114 Самара,2008,"бензин, 1.6 л","81 л.с., налог",механика,передний,серый,10 000,левый,1 поколение,1.6 MT 21144-22-010,165000
Лада,2110,2004,"бензин, 1.5 л","89 л.с., налог",механика,передний,серебристый,205 000,0,1 поколение,1.5i MT 21103 ,118000
Лада,4x4 2121 Нива,2016,"бензин, 1.7 л","83 л.с., налог",механика,4WD,черный,68 000,левый,1 поколение,0,510000
Лада,Гранта,2021,"бензин, 1.6 л","90 л.с., налог",механика,передний,коричневый,9 912,левый,"1 поколение, рестайлинг",0,689000
Лада,2115 Самара,2007,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,203 151,левый,1 поколение,1.6 MT 21154-20-010,130000
Лада,2110,2002,"бензин, 1.5 л","70 л.с., налог",механика,передний,синий,66 000,0,1 поколение,1.5 MT 2110,89000
Лада,2107,2011,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,117 000,0,1 поколение,0,160000
Лада,Веста,2017,"бензин, 1.6 л","106 л.с., налог",механика,передний,серый,45 000,левый,1 поколение,0,719000
Лада,2106,2001,"бензин, 1.5 л","72 л.с., налог",механика,задний,фиолетовый,60 000,левый,1 поколение,0,60000
Лада,2107,2007,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,41 760,0,1 поколение,1.6 MT 21074-40-015,239000
Лада,2115 Самара,2002,"бензин, 1.5 л","76 л.с., налог",механика,передний,0,200 000,левый,1 поколение,1.5i MT Базовая,100000
Лада,2106,2003,"бензин, 1.6 л","75 л.с., налог",механика,задний,фиолетовый,81 500,левый,1 поколение,0,99000
Лада,Гранта,2017,"бензин, 1.6 л","87 л.с., налог",механика,передний,белый,303 664,левый,1 поколение,0,325000
Лада,1111 Ока,2003,"бензин, 0.7 л","33 л.с., налог",механика,передний,красный,120 000,левый,1 поколение,0.6 MT 11113,62000
Лада,2106,1990,"бензин, 1.3 л","64 л.с., налог",механика,задний,голубой,40 000,левый,1 поколение,1.3 MT 21063,49900
Лада,Гранта,2020,"бензин, 1.6 л","106 л.с., налог",механика,передний,серый,12 300,левый,"1 поколение, рестайлинг",1.6 MT Luxe,759000
Лада,1111 Ока,1999,"бензин, 0.7 л","33 л.с., налог",механика,передний,белый,54 668,левый,1 поколение,0.6 MT 11113,55000
Лада,Ларгус Кросс,2019,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,60 000,левый,1 поколение,1.6 MT Luxe 5 мест,850000
Лада,2109,2001,"бензин, 1.5 л","72 л.с., налог",механика,передний,серебристый,250 000,левый,"1 поколение, рестайлинг",0,55000
Лада,2113 Самара,2010,"бензин, 1.6 л","80 л.с., налог",механика,передний,черный,5 000,левый,1 поколение,1.6 MT 21134-22-010,249000
Лада,2107,2005,"бензин, 1.6 л","72 л.с., налог",механика,задний,синий,200 000,0,1 поколение,0,63000
Лада,2114 Самара,2008,"бензин, 1.6 л","80 л.с., налог",механика,передний,синий,240 000,левый,1 поколение,1.6 MT 21144-20-010,138500
Лада,2111,1999,"бензин, 1.5 л","72 л.с., налог",механика,передний,коричневый,200 000,левый,1 поколение,0,25000
Лада,Гранта,2022,"бензин, 1.6 л","90 л.с., налог",механика,передний,черный,2 445,левый,"1 поколение, рестайлинг",0,799000
Лада,2114 Самара,2008,"бензин, 1.6 л","81 л.с., налог",механика,передний,зеленый,247 000,левый,1 поколение,0,165000
Лада,4x4 2121 Нива,1997,"бензин, 1.7 л","79 л.с., налог",механика,4WD,красный,100 000,левый,1 поколение,0,135000
Лада,Гранта,2021,"бензин, 1.6 л","98 л.с., налог",АКПП,передний,черный,20 000,левый,"1 поколение, рестайлинг",1.6 AT Comfort,1100000
Лада,2107,2011,0,"72 л.с., налог",автомат,задний,0,22 217,0,1 поколение,0,165000
Лада,2101,1973,0,0,0,0,синий,108 200,правый,0,0,35000
